"","(Intercept)","age","age2","age3","sexF","hcc_date_init1","sodium_lab_miss1","sodium_lab","sodium_lab2","creat_lab_miss1","creat_lab","creat_lab2","creat_lab3","platelet_lab_miss1","platelet_lab","platelet_lab2","platelet_lab3","albumin_lab_miss1","albumin_lab","albumin_lab2","inr_lab_miss1","inr_lab","inr_lab2","inr_lab3","bilirubin_lab_miss1","bilirubin_lab","bilirubin_lab3","myocardial_date_init1","heart_fail_date_init1","periph_date_init1","cerebro_date_init1","dementia_date_init1","pulmonary_date_init1","rheumatic_date_init1","ulcer_date_init1","diab_unc_date_init1","paralysis_date_init1","diab_com_date_init1","malignancy_date_init1","meta_cancer_date_init1","aids_date_init1","renal_mild_date_init1","renal_severe_date_init1","etiology_m0nALD","etiology_m0nMETALD","etiology_m0nHCV","etiology_m0nHBV","etiology_m0nBiliary","etiology_m0nOther","etiology_m0n2+ Etiologies","etiology_m0nUnknown"
"creat_lab",-0.015830727388707,-0.00000745299968817088,0.000010403379177937,0.00000222408601986741,-0.0000551400343861075,0.0000311191600532006,-0.00519467232554395,-0.000078059556636187,0.0000859141182876433,0.029732544594703,0.0595086069241774,-0.062957978286279,0.00362017867179337,-0.00499217172201361,-0.0000499763324782826,0.0000503000252587138,-0.0000000955450949507719,-0.00146077467547955,-0.000460827990238379,0.00103633186442643,-0.00120703604505135,-0.00114354619216702,0.00153119767444029,-0.000389960880960774,-0.000797092902988347,-0.00101342513271246,0.00105624545157863,0.0000375462548808119,0.0000435731562311302,0.00000100952931207676,-0.0000109544338710963,-0.0000550959300856048,-0.00000371070188308476,-0.0000188794621520188,-0.00000570434645090777,0.00000621189626187243,0.000024945860400623,0.0000149178755851707,-0.0000211385923415894,0.0000202372573968458,-0.0000785503794222978,0.000138461709263344,0.0000262233088755882,0.000029438116293414,0.0000111230352506018,-0.0000843728366438945,-0.0000326560547817978,-0.0000397392529338546,-0.000026574048874438,-0.0000534956519401034,-0.00000222909151475177
"creat_lab2",0.0149995250224283,0.00000802512139819916,-0.0000139058537559672,-0.00000355572953238067,0.000204498489949253,-0.0000239789634608379,0.00621177995812482,0.0000867063501142603,-0.000104972145245387,-0.0303662976614567,-0.062957978286279,0.0704410564312115,-0.00824367768735854,0.00493893261100238,0.0000495878986166195,-0.0000502684969663019,0.000000604358863253955,0.00151951091177718,0.000471400684062601,-0.00115119898697888,0.00166045068742586,0.00160953259991332,-0.00235021437758938,0.000738422542513108,0.000777501397123676,0.00113793935938367,-0.001190110122341,-0.0000463287048779923,-0.0000863348336689727,0.0000133416788112387,0.00000671180987434611,0.0000816759894192346,0.00000793857023808979,0.0000300808566178513,0.0000114532992091929,0.0000040184566293448,-0.00000342296407414132,-0.0000277158368859547,0.0000208537371955467,-0.0000146144326081279,-0.0000378286917452589,-0.000349214047303623,0.000000280668323138595,-0.000000238713440148193,0.0000131236090272238,0.0000893306401341012,0.0000166166797065302,0.0000318968218161767,0.00002236426489358,0.0000671837352768154,0.0000145212267166832
"creat_lab3",-0.000271858959081102,-0.000000786558520111149,0.0000041072063522189,0.00000212626486915053,-0.000160802193745616,-0.00000987228579126828,0.000143107547131532,0.000000359963701678756,0.0000103715583311089,0.000681158150281784,0.00362017867179337,-0.00824367768735854,0.00591750316406066,0.0000576801915094248,0.000000288681825419647,0.0000000331571392819273,-0.000000458411440662991,0.00000493126243083769,0.0000120085450847464,0.0000401168266665558,-0.000595478624420954,-0.000595935477928062,0.000932099677572267,-0.000325231558316065,0.000000377708365051673,-0.0000816963496802196,0.0000888240788817344,0.00000554460537361924,0.0000404309492449413,-0.0000135353980159343,0.00000868651621089207,-0.0000235219391903943,0.000000872906945879289,-0.000005768526694471,-0.00000562900638992853,-0.00000594728216937372,-0.0000203281866581466,-0.000000345594536445898,0.00000241656809396907,-0.00000287846682375677,0.000150223200243455,0.000206974006642504,-0.000212616101829634,-0.0000359957342625216,-0.0000214475069119973,-0.00000436424310706764,0.000012619132341829,0.0000126589475081507,0.0000122708980501832,-0.0000122534410628387,-0.0000155990047038162
"platelet_lab_miss1",-0.00496303748842583,0.00000156932520876337,-0.00000254178175849729,0.0000002576656351058,-0.0000129609634447384,-0.0000213444526929581,0.000798201753412159,0.00000442960942824551,0.00000467835818924523,-0.00336749073916247,-0.00499217172201361,0.00493893261100238,0.0000576801915094248,0.00682578460004728,0.0000650868556117659,-0.0000666673944743658,0.00000224700509857564,-0.000212841288460732,-0.0000389338968493058,0.0000467057567837287,0.000932941207427589,0.000978174007457033,-0.00120201347643676,0.000208270433125376,-0.0000400106371936273,0.000196154995104371,-0.000202519787594563,-0.0000135844313805886,-0.00000650663816028961,-0.0000064996290420423,-0.0000110756988696381,0.00000734768523945624,-0.00000783604433557925,0.000000184236679199486,0.00000240894110253019,-0.00000182766971974538,-0.0000000648555642638721,-0.00000395558993435893,-0.00000453273050362062,-0.000000264809507457788,0.0000954542943460561,0.00000673013533018212,-0.00000341275159676266,-0.00000809616636333394,-0.0000120985436886619,0.0000168031144728835,0.00000468792985334166,-0.0000234946404255422,-0.0000114211003838406,0.0000203758410992475,-0.00000420332450274937
"platelet_lab",-0.0000365728435000264,0.00000000607549209884991,-0.0000000225772702854426,0.00000000746590691308677,-0.00000000414416956119765,-0.0000000959912810055322,-0.00000110081015616131,-0.000000037068646810836,0.0000000636630163200423,-0.0000322348835050913,-0.0000499763324782826,0.0000495878986166195,0.000000288681825419647,0.0000650868556117659,0.000000740794365337014,-0.000000796325988490369,0.0000000806678236994523,-0.000000784831587249614,-0.000000386262549256174,0.000000854688440889817,0.00000589795833548834,0.00000498923243117501,-0.00000540372115226861,0.000000280238915381106,-0.000000185942370068029,0.000000342771406222975,-0.000000229728684926296,-0.0000000847609806466996,0.000000000869735414189716,-0.0000000908516799190448,-0.0000000829767251979122,0.000000133566618863431,-0.0000000120170363447821,-0.0000000731206026231865,0.0000000381369676089274,-0.0000000283294009365389,-0.0000000101408516129783,-0.0000000645678566570916,0.0000000126157986606967,0.000000245759312847594,0.00000069987867453767,0.0000000736559195520611,-0.0000000839204845870925,-0.0000000687483076018809,-0.000000175281860287316,-0.00000000616793875494319,-0.0000000495361619323852,0.000000121377401798589,-0.0000000873112146466356,0.000000130879979026667,-0.0000000716207711281215
"platelet_lab2",0.0000198554227247775,0.00000000558965841336621,0.0000000210336746644844,-0.0000000185921974266165,-0.000000111145088212835,0.000000053528413248698,0.0000111414610363277,0.000000109774249708299,-0.0000000922191310182316,0.0000322970383183948,0.0000503000252587138,-0.0000502684969663019,0.0000000331571392819273,-0.0000666673944743658,-0.000000796325988490369,0.000000896883173748049,-0.000000155188334726866,0.000000817131202145334,0.000000268032124841592,-0.000000615231823988659,0.000000756760006788684,0.00000141801592605428,-0.00000236339415630388,0.000001063713927599,0.00000111644406859763,0.00000127085960503218,-0.00000157831271089525,0.0000000456720363669114,-0.0000000514601547044868,0.0000000499980653107048,0.0000000385391205329972,-0.000000199606008224343,-0.0000000735714909683449,-0.00000000307471295065801,-0.0000000881195035311112,0.0000000829971039685347,-0.0000000176056607713298,0.000000108734604454019,-0.0000000308767902478274,-0.000000327769077677408,-0.000000502609216656487,-0.000000103510358783325,0.000000103009661618351,0.0000000316290298187161,0.000000185944690548474,0.000000104132678834448,0.0000000770020577236398,-0.00000042911544848367,0.0000000533945254127256,-0.000000122774935177179,0.0000000940835210017466
"platelet_lab3",0.0000196779251079495,-0.0000000194304876146302,0.00000000602720882490682,0.0000000168564427986274,0.000000171773396710896,0.00000000822334515497667,-0.00000781788339396417,-0.0000000545761839329168,0.0000000146995783070382,0.000000352648612110237,-0.0000000955450949507719,0.000000604358863253955,-0.000000458411440662991,0.00000224700509857564,0.0000000806678236994523,-0.000000155188334726866,0.000000337720221445618,-0.0000000630515792000152,0.000000251547179234492,-0.000000720406909503336,-0.0000122377394507663,-0.0000116669583073295,0.0000138280154312475,-0.00000242537145103187,-0.00000124054742773769,-0.00000226582792497647,0.0000024441292007804,-0.0000000051528883213258,0.0000000661466169784035,0.0000000701502501210134,0.0000000451817033521361,0.0000000998480111822883,0.000000113504636050958,0.00000000665819689389487,0.0000000384832701602569,-0.0000000287007630077802,0.0000000435083283405259,-0.000000052538586547603,-0.0000000415687587083524,0.000000105593416928122,-0.000000250389487394731,0.0000000499570344618856,-0.0000000179802791332036,-0.0000000501282760280589,-0.0000000326946470608157,-0.000000057783112209973,0.0000000853120780410309,0.000000501944465002371,0.000000102467572414573,0.000000020755193195334,-0.0000000796555462451408
"albumin_lab_miss1",-0.00213027744966097,0.00000080985043919096,-0.00000153362655263997,0.0000000770885508707151,0.0000145145837215558,0.00000717857381062001,0.00163007417925634,0.0000155696114891044,-0.0000271013047313201,-0.00109117777595322,-0.00146077467547955,0.00151951091177718,0.00000493126243083769,-0.000212841288460732,-0.000000784831587249614,0.000000817131202145334,-0.0000000630515792000152,0.00389620996464298,0.00035953090925597,-0.000586459185218726,0.000117230199429438,0.000143472357378263,-0.000185468440445654,0.0000355975817229184,-0.00223399562320154,0.000183927389528815,-0.000186049706625071,0.00000191385527903221,-0.00000682299725169426,-0.00000728382821045508,-0.0000137140483192486,0.00000306502160502399,-0.00000101122909976681,-0.000000127130616583762,-0.00000072544616082425,0.00000198820253701622,0.00000756519830133174,-0.000000400687445852368,-0.00000533095685390608,0.00000209445121231366,0.00000648851269177481,0.0000243852496759981,0.00000993623390771836,-0.00000604800301039402,0.00000248069161473724,0.00000133976928206597,-0.0000109187581292311,0.0000426318493935241,0.0000203706682764264,0.0000200620470838361,0.00000402953700302864
"albumin_lab",-0.000834022745518038,0.000000366320538943013,-0.000000461324546600786,-0.0000000127068137929742,0.00000489431135089254,0.00000241007399872337,0.000447175101818949,0.00000311746279949106,-0.0000113995100905022,-0.000262366946180641,-0.000460827990238379,0.000471400684062601,0.0000120085450847464,-0.0000389338968493058,-0.000000386262549256174,0.000000268032124841592,0.000000251547179234492,0.00035953090925597,0.000242184813166574,-0.000700254311290114,0.000274684255951564,0.00026540582950354,-0.000268948540708206,-0.0000000172086948669584,0.0000377213867481045,0.0000215315697233316,-0.0000194521690284388,0.000000856106786144331,0.00000368401061071772,-0.00000357252887910405,-0.00000274652063001787,0.00000209642487188721,-0.000000000495874295523204,-0.00000409507979030979,0.00000143180471611405,-0.0000000613405685940034,0.00000664412805267737,-0.0000000713061505394692,-0.00000470042028781205,0.00000298857131822767,0.0000241190546330685,0.000000862125464552277,0.00000191311873351833,0.000000201440838608478,-0.000000798480296028853,0.00000997409997228871,-0.00000184531252564682,0.00000598671563404341,0.00000485921746975952,0.00000937518456851257,-0.00000204099029123698
"albumin_lab2",0.000360968296288383,-0.000000587827312647633,0.00000110356274802515,-0.00000043514994700861,-0.00000816596759576092,0.000013854125265516,0.000490355398558625,0.00000566804869205568,0.00000576312715968717,0.000592021403910803,0.00103633186442643,-0.00115119898697888,0.0000401168266665558,0.0000467057567837287,0.000000854688440889817,-0.000000615231823988659,-0.000000720406909503336,-0.000586459185218726,-0.000700254311290114,0.00711923405990072,-0.0006020884744182,-0.000614317877964756,0.000635163265384206,-0.0000251048721460958,-0.000292618237334771,-0.0000514975087203206,0.0000541546022910884,0.00000133825679131292,-0.00000448041524355115,0.00000948964452299503,0.00000120030608392155,-0.0000093901319653589,-0.00000147427971251818,0.0000000310724577486564,-0.00000137537018746372,-0.00000362734205066125,-0.0000115482184537727,0.00000580021136276173,0.00000187890280687625,-0.00000507811757818899,-0.000070303370430681,0.00000720496482415395,0.000000813523733450061,0.0000155772228496836,0.0000105404275159925,-0.00000897557859214499,0.0000185667863477614,-0.0000038561544968933,-0.00000945752209040048,-0.00000355942643025031,0.0000199057864760681
