"","(Intercept)","age","age2","age3","sexF","hcc_date_init1","sodium_lab_miss1","sodium_lab","sodium_lab2","creat_lab_miss1","creat_lab","creat_lab2","creat_lab3","platelet_lab_miss1","platelet_lab","platelet_lab2","platelet_lab3","albumin_lab_miss1","albumin_lab","albumin_lab2","inr_lab_miss1","inr_lab","inr_lab2","inr_lab3","bilirubin_lab_miss1","bilirubin_lab","bilirubin_lab3","myocardial_date_init1","heart_fail_date_init1","periph_date_init1","cerebro_date_init1","dementia_date_init1","pulmonary_date_init1","rheumatic_date_init1","ulcer_date_init1","diab_unc_date_init1","paralysis_date_init1","diab_com_date_init1","malignancy_date_init1","meta_cancer_date_init1","aids_date_init1","renal_mild_date_init1","renal_severe_date_init1","etiology_m0nALD","etiology_m0nMETALD","etiology_m0nHCV","etiology_m0nHBV","etiology_m0nBiliary","etiology_m0nOther","etiology_m0n2+ Etiologies","etiology_m0nUnknown"
"(Intercept)",9.25652671639288,-0.000702822622147342,0.000753778546720239,-0.0000722833538438586,-0.00073522711672562,0.000287755310391535,-9.03303655215016,-0.0682060923594811,0.0731180727673923,-0.0130944662991793,-0.0236510698671441,0.021509570387511,0.00114679105573663,-0.00894037431856872,-0.0000612153668377288,0.0000360015676258352,0.0000331949772317132,-0.00331868519810332,-0.00107431529658034,0.000583999843868863,-0.166971093272143,-0.151078419436689,0.176187157835468,-0.0260731783801888,0.000473179627246872,0.000238205965189599,-0.000176086391262853,0.000244545223393952,0.000159358427872585,-0.0000638902620442176,-0.000407420730588859,-0.0000998750558607894,-0.000335012840976528,0.000202777873301225,0.000316160124177543,0.000337828258777176,0.00093057748516456,0.000116790641675938,0.0000767326987272774,0.000442190409384348,-0.0394068159969055,-0.000502522095215771,0.000374977739325072,-0.0019513915761288,-0.000743522244901296,0.000219965022585245,0.000169113783229323,0.000183284207551338,0.000242951657796944,-0.000264156267107529,-0.00133789817896316
"age",-0.000702822622147342,0.0000160452604946175,-0.0000194679736101378,0.00000422322015365816,0.000000492495366655111,0.00000156771288779598,0.0000267150693243891,0.000000196750817652537,-0.00000011846170022974,-0.00000620775978619001,-0.0000126590834224647,0.0000137535951276987,-0.00000132437868698812,0.00000252707672573141,0.00000000872982966802355,0.0000000105134088053493,-0.0000000292494058690323,0.0000014527106092305,0.000000680937694265369,-0.00000123135063482465,-0.00000228335798434113,-0.00000251459976661311,0.00000492371828916937,-0.00000234576974264913,-0.000000365474037626731,0.000000243868211622509,0.000000222038525545008,-0.000000745113491208019,0.000000204685146427301,0.000000229514426296335,-0.000000182819082111939,-0.000000568669102911563,-0.000000576052557256641,-0.00000129053292852074,-0.000000887150035052041,-0.00000269086133919192,-0.0000000585850969500441,0.000000188313969594726,-0.000000724827336981421,-0.00000131404823904611,-0.00000680644441435102,0.000000342169204240903,-0.000000359044491224585,0.00000171675207859275,-0.00000243387091748933,-0.00000244994604760927,-0.0000016820904351674,0.000000232115122764317,0.00000303513755452178,0.00000285599692078569,0.0000234493075708701
"age2",0.000753778546720239,-0.0000194679736101378,0.0000266914644329745,-0.00000959254264462123,-0.00000111427357358249,-0.00000454696893721723,0.0000289244345551684,0.000000233794746875718,-0.000000473679164373135,0.0000090454141091921,0.000017018623137092,-0.0000231679480053546,0.00000697400882061019,-0.00000390617184644311,-0.0000000324887298662955,0.0000000291229560479123,0.00000000812757643123158,-0.00000253750575581364,-0.00000076467570605613,0.00000194408618598917,0.00000156312812918943,0.00000171255511021748,-0.000000735899576997795,-0.00000168188788619651,0.000000830734349856965,0.0000000683381859676664,-0.000000072897595599372,0.000000608483738538445,-0.000000532076943616234,-0.00000206900925207635,-0.00000048394144634812,0.00000158026828026155,-0.00000000246008034535874,0.00000221549248303487,0.00000217127741881315,0.00000249192131565784,0.00000154285321652914,-0.00000204383973267055,-0.00000117260537050827,0.0000023881206021901,0.0000138254932270731,-0.00000068251774673853,0.00000200438675104978,0.00000293479621656948,0.00000313027425872374,-0.000000498318914181043,0.00000337211895262334,0.000000102526199859363,-0.00000241773610401653,-0.000000558037040897834,-0.0000197695923290877
"age3",-0.0000722833538438586,0.00000422322015365816,-0.00000959254264462123,0.0000106387118985735,-0.00000144976733993132,0.00000295031877547754,-0.0000603695188269549,-0.000000467749231644485,0.000000546922720162499,0.000000334610442315372,0.00000520789400333962,-0.00000809257710767016,0.00000408869407047296,-0.000000226427036782835,0.00000000322348553735736,-0.0000000219190045745384,0.0000000249158801160746,0.000000450482775803355,0.000000202352823904717,-0.00000201841787974946,0.000000177646881702083,0.0000013852861104101,-0.0000125881561445029,0.0000126251723601712,-0.00000149296199574066,-0.00000149541551652555,0.00000107453745368424,-0.00000037460328300676,-0.00000322455683906717,-0.00000342944073412297,-0.00000351459399593963,-0.0000146036255944344,0.00000137037246878893,-0.000000253020599466675,-0.00000212963494325181,0.00000179797752377023,0.000000925582314985858,0.00000183430347968547,-0.00000167164053025655,-0.000000117800912656049,-0.00000198198327615927,-0.00000501017102925992,0.0000000474776921727714,-0.000000595946313145291,0.00000335811267777005,0.0000111180407001409,0.00000071901634658956,-0.00000056177141877059,0.000000312815766180322,0.00000390036146116532,0.000000113326040090781
"sexF",-0.00073522711672562,0.000000492495366655111,-0.00000111427357358249,-0.00000144976733993132,0.000359062630318202,0.0000514902292317817,0.000468746367318719,0.00000363333823388468,-0.00000810586600950468,0.0000263957630669523,-0.0000804544545038954,0.000322198034132577,-0.000259649384297006,-0.000026052737772457,-0.0000000550916299949113,-0.00000013742864901149,0.000000286949240031425,0.0000200397655286207,0.00000735710443727891,-0.000010857626716233,0.0000284696202524096,0.000023674357818681,-0.00000549760692585709,-0.0000192952452568819,0.0000229129043213928,0.0000491454806567979,-0.0000518489020903866,0.0000352924700210936,0.0000139031034075458,0.0000242280304650002,-0.000000956331697451199,-0.000012756043089352,-0.0000203922571437524,-0.0000688238085368302,-0.00000495046847260593,0.000000848864995818951,0.00000648973388720579,-0.0000059602902195758,0.0000123619767226364,-0.000012946147141457,0.0000380562238069252,-0.00000488795035190617,0.0000100668128575597,0.000061762552362431,0.0000744762285115871,0.0000458362026096561,0.0000518519286184354,-0.0000839621502997989,-0.0000229769477289266,0.000020432636648939,0.0000133606041761036
"hcc_date_init1",0.000287755310391535,0.00000156771288779598,-0.00000454696893721723,0.00000295031877547754,0.0000514902292317817,0.00236237822291487,-0.000383581403917359,-0.00000303843859149132,0.00000579767771772963,0.0000503551768355004,0.0000574859022189112,-0.0000496007288392496,-0.00000935184541021697,-0.0000475075694692596,-0.000000190859192712433,0.0000000659680512677932,0.0000000752731432591556,0.00000846783016982781,0.00000931218755699662,-0.00000448664901997373,0.0000360964055990323,0.000000481880520010982,0.0000527872445117101,-0.0000592089601850802,-0.0000122877179099977,-0.00000844152705418243,0.0000102503653731297,0.00000805194383913116,0.0000339340005878459,0.0000195548122698583,0.000030415457731867,0.000013327790509828,0.0000326105150799988,0.0000238528560368617,0.0000218796916278632,0.00000477750793631814,0.0000146107048532829,-0.0000139455707059778,-0.000599454688900859,-0.00000144086582628607,0.0000905824580954595,0.0000248827045275641,0.000030316695796996,0.00000716740007435787,0.00000032982793995061,-0.000137666439526878,-0.000199730895111682,0.0000141647037237405,-0.0000178816767555973,-0.000113890740924975,-0.0000301208336730077
"sodium_lab_miss1",-9.03303655215016,0.0000267150693243891,0.0000289244345551684,-0.0000603695188269549,0.000468746367318719,-0.000383581403917359,9.04285555355114,0.0682642759134305,-0.0731978760558241,-0.00830837790291395,-0.00932366756304571,0.0117307200565807,-0.00131842399908245,0.00275796618789001,0.00000642330906507107,0.00000709983721276087,-0.0000124813241817983,0.00253755945794027,0.000436655894177665,0.000606163708296219,-0.00963285301186435,-0.00944434682800273,0.0105815586952257,-0.00163083983394696,0.000708399525008776,0.00212218578435143,-0.00206510710757459,-0.000174734732839467,-0.000108146169180227,0.0000142962725256519,0.000516368590348906,0.000310996769029561,0.00032100603130575,-0.000291630603521569,-0.00023265535007087,-0.000472783933870479,-0.00103286197767274,-0.00014109700348586,-0.0000898752436539684,-0.000357115224508872,0.0394292883200497,0.000447049565810267,-0.000283400991733009,0.0016173397307786,0.000722865082433081,-0.000367555786166301,-0.000427313070471699,-0.000660478288520834,-0.00050582365140436,-0.000349683181303764,0.0000235761834018258
"sodium_lab",-0.0682060923594811,0.000000196750817652537,0.000000233794746875718,-0.000000467749231644485,0.00000363333823388468,-0.00000303843859149132,0.0682642759134305,0.00051591481742198,-0.000554730930527607,-0.0000478525785382753,-0.000137805023797148,0.000157598234978669,-0.0000112521345383857,0.000018107054284164,-0.0000000020001023783347,0.0000000990607585214203,-0.000000086508901393636,0.0000247884597720614,0.0000030601414669834,0.00000708898678420988,-0.0000776256926026366,-0.0000751678824874293,0.0000838472254360155,-0.0000125491312769143,0.00000873798815493485,0.0000139864425627579,-0.000013615724092227,-0.0000013490664849942,-0.000000982618759485317,0.000000251961408956178,0.00000391126172186702,0.00000237408208275516,0.00000250645038773893,-0.00000184364271900051,-0.00000152771900122054,-0.00000378947683960349,-0.00000766440275480922,-0.00000126505009917083,-0.000000518416607677818,-0.00000284336449864738,0.000295313573001776,0.00000336713210470258,-0.00000241332621783442,0.0000118261944450816,0.00000523455824609446,-0.00000273196228013368,-0.0000028680248894717,-0.00000471669872449775,-0.00000367193544914156,-0.00000243361914172281,0.000000322030630172782
"sodium_lab2",0.0731180727673923,-0.00000011846170022974,-0.000000473679164373135,0.000000546922720162499,-0.00000810586600950468,0.00000579767771772963,-0.0731978760558241,-0.000554730930527607,0.000629624032646588,0.0000478268973082034,0.000154684426971472,-0.000192854381716921,0.0000313138928881456,-0.00000503427177020015,0.0000000346101774138667,-0.0000000613095077741083,0.00000000386164504847356,-0.000042393455416221,-0.0000165989771384984,0.000015266212561377,0.0000935219798119105,0.0000843027751076101,-0.0000982358107795121,0.0000176823142414335,0.00000136804601143618,-0.0000018456945295572,0.00000406618702345249,0.00000148191885302008,0.00000109295882070606,-0.000000505721706223414,-0.00000465819080553117,-0.00000378609497019827,-0.00000277269376854558,0.00000177531508141186,0.000000510960154826089,0.00000667265678986446,0.00000731085874261085,0.00000242206922467185,-0.000000915029401938435,0.00000233979661165753,-0.000304464434471159,-0.00000574521408498806,0.00000242847448277632,-0.00000854347548963197,0.000000131603210285079,0.00000380926048174405,-0.0000000507285362471639,0.00000541056597444026,0.00000630040623500927,0.00000416754764550444,-0.00000118909098702157
"creat_lab_miss1",-0.0130944662991793,-0.00000620775978619001,0.0000090454141091921,0.000000334610442315372,0.0000263957630669523,0.0000503551768355004,-0.00830837790291395,-0.0000478525785382753,0.0000478268973082034,0.029960010462037,0.0453669589163198,-0.0463316070528569,0.00103286188258109,-0.00489788075781541,-0.0000461754870879176,0.0000463034754799163,0.000000149118341755546,-0.0018264454621475,-0.000420837726307647,0.00101009307529137,-0.0007816933673901,-0.000716589131239413,0.000942559461346149,-0.000235959457520556,-0.000787874034946419,-0.00100042367030556,0.0010372392240414,0.0000324775827175212,0.0000255540134527618,0.0000226497891296157,-0.0000178412015706099,-0.0000545850628514723,-0.00000114141510809902,0.0000203877470214801,0.0000149424326464033,0.0000179865324403518,0.0000413099395425463,0.0000112285393013143,-0.0000123289808296356,0.00000397312636038701,-0.00027061514186512,0.0000164669294657998,-0.0000349381273708776,0.0000173766577629684,0.0000204201684473417,-0.0000748287359880328,-0.0000333148864502965,-0.0000620803013137827,-0.000044569540441588,-0.0000483176196623093,-0.00000892475756906064
